timestamp,open,high,low,close,volume
2024-01-07T22:04:00Z,1.094620,1.094620,1.094485,1.094495,50.00
2024-01-07T22:05:00Z,1.094500,1.094580,1.094450,1.094470,81.90
2024-01-07T22:06:00Z,1.094460,1.094465,1.094430,1.094430,17.90
2024-01-07T22:07:00Z,1.094465,1.094465,1.094445,1.094445,11.00
2024-01-07T22:08:00Z,1.094435,1.094655,1.094430,1.094510,76.40
2024-01-07T22:09:00Z,1.094500,1.094500,1.094375,1.094445,90.90
2024-01-07T22:10:00Z,1.094450,1.094465,1.094440,1.094445,11.30
2024-01-07T22:11:00Z,1.094455,1.094455,1.094405,1.094430,25.65
2024-01-07T22:12:00Z,1.094440,1.094440,1.094415,1.094435,44.35
2024-01-07T22:13:00Z,1.094420,1.094445,1.094405,1.094435,49.85
2024-01-07T22:14:00Z,1.094440,1.094440,1.094390,1.094440,62.00
2024-01-07T22:15:00Z,1.094420,1.094450,1.094405,1.094425,148.05
2024-01-07T22:16:00Z,1.094420,1.094440,1.094380,1.094380,118.40
2024-01-07T22:17:00Z,1.094360,1.094385,1.094295,1.094335,97.20
2024-01-07T22:18:00Z,1.094345,1.094380,1.094345,1.094380,24.75
2024-01-07T22:19:00Z,1.094385,1.094410,1.094375,1.094410,30.80
2024-01-07T22:20:00Z,1.094390,1.094415,1.094390,1.094390,23.49
2024-01-07T22:21:00Z,1.094395,1.094450,1.094380,1.094385,144.90
2024-01-07T22:22:00Z,1.094420,1.094450,1.094375,1.094405,507.40
2024-01-07T22:23:00Z,1.094420,1.094440,1.094390,1.094395,224.60
2024-01-07T22:24:00Z,1.094405,1.094440,1.094375,1.094435,105.75
2024-01-07T22:25:00Z,1.094440,1.094460,1.094440,1.094445,14.35
2024-01-07T22:26:00Z,1.094455,1.094455,1.094430,1.094455,25.85
2024-01-07T22:27:00Z,1.094425,1.094455,1.094415,1.094415,21.40
2024-01-07T22:28:00Z,1.094450,1.094500,1.094435,1.094435,36.10
2024-01-07T22:29:00Z,1.094450,1.094470,1.094430,1.094450,36.80
2024-01-07T22:30:00Z,1.094470,1.094470,1.094445,1.094445,25.80
2024-01-07T22:31:00Z,1.094430,1.094460,1.094430,1.094450,24.60
2024-01-07T22:32:00Z,1.094455,1.094455,1.094365,1.094395,57.96
2024-01-07T22:33:00Z,1.094390,1.094395,1.094345,1.094360,127.89
2024-01-07T22:34:00Z,1.094365,1.094410,1.094350,1.094380,48.60
2024-01-07T22:35:00Z,1.094370,1.094405,1.094330,1.094345,92.70
2024-01-07T22:36:00Z,1.094350,1.094355,1.094335,1.094345,65.70
2024-01-07T22:37:00Z,1.094355,1.094460,1.094345,1.094435,29.70
2024-01-07T22:38:00Z,1.094440,1.094450,1.094430,1.094430,46.80
2024-01-07T22:39:00Z,1.094440,1.094440,1.094425,1.094440,10.80
2024-01-07T22:40:00Z,1.094445,1.094445,1.094435,1.094440,7.20
2024-01-07T22:41:00Z,1.094445,1.094445,1.094440,1.094445,5.40
2024-01-07T22:42:00Z,1.094450,1.094490,1.094445,1.094475,30.85
2024-01-07T22:43:00Z,1.094470,1.094470,1.094460,1.094470,12.60
2024-01-07T22:44:00Z,1.094465,1.094465,1.094465,1.094465,3.15
2024-01-07T22:45:00Z,1.094470,1.094470,1.094465,1.094465,6.30
2024-01-07T22:47:00Z,1.094470,1.094470,1.094460,1.094470,9.90
2024-01-07T22:48:00Z,1.094485,1.094485,1.094485,1.094485,3.14
2024-01-07T22:49:00Z,1.094480,1.094495,1.094480,1.094480,9.42
2024-01-07T22:51:00Z,1.094475,1.094485,1.094475,1.094485,7.42
2024-01-07T22:52:00Z,1.094490,1.094520,1.094485,1.094485,20.03
2024-01-07T22:53:00Z,1.094495,1.094495,1.094485,1.094485,6.42
2024-01-07T22:54:00Z,1.094490,1.094490,1.094480,1.094480,10.70
2024-01-07T22:55:00Z,1.094485,1.094485,1.094480,1.094485,7.32
2024-01-07T22:56:00Z,1.094475,1.094480,1.094460,1.094460,39.10
2024-01-07T22:57:00Z,1.094470,1.094475,1.094455,1.094465,22.02
2024-01-07T22:58:00Z,1.094460,1.094480,1.094460,1.094475,22.36
2024-01-07T22:59:00Z,1.094480,1.094525,1.094445,1.094445,45.10
2024-01-07T23:00:00Z,1.094455,1.094605,1.094015,1.094200,559.22
2024-01-07T23:01:00Z,1.094185,1.094210,1.093985,1.094100,265.95
2024-01-07T23:02:00Z,1.094095,1.094125,1.094050,1.094055,105.30
2024-01-07T23:03:00Z,1.094060,1.094075,1.093930,1.093995,188.64
2024-01-07T23:04:00Z,1.093970,1.094025,1.093950,1.093985,212.49
2024-01-07T23:05:00Z,1.094005,1.094045,1.093985,1.094045,198.81
2024-01-07T23:06:00Z,1.094030,1.094070,1.093995,1.094045,160.44
2024-01-07T23:07:00Z,1.094050,1.094050,1.093950,1.093975,88.32
2024-01-07T23:08:00Z,1.093940,1.093945,1.093910,1.093920,113.40
2024-01-07T23:09:00Z,1.093905,1.093930,1.093840,1.093920,120.19
2024-01-07T23:10:00Z,1.093925,1.094005,1.093925,1.094005,106.38
2024-01-07T23:11:00Z,1.094010,1.094010,1.093955,1.093965,46.98
2024-01-07T23:12:00Z,1.093960,1.093975,1.093905,1.093970,57.09
2024-01-07T23:13:00Z,1.093965,1.093965,1.093905,1.093910,90.27
2024-01-07T23:14:00Z,1.093915,1.093935,1.093890,1.093920,70.83
2024-01-07T23:15:00Z,1.093915,1.093920,1.093885,1.093905,48.69
2024-01-07T23:16:00Z,1.093885,1.093900,1.093840,1.093865,121.81
2024-01-07T23:17:00Z,1.093875,1.093965,1.093870,1.093910,54.90
2024-01-07T23:18:00Z,1.093915,1.093925,1.093915,1.093925,5.40
2024-01-07T23:19:00Z,1.093940,1.093960,1.093920,1.093960,32.49
2024-01-07T23:20:00Z,1.093975,1.094015,1.093970,1.094010,40.50
2024-01-07T23:21:00Z,1.094005,1.094015,1.093880,1.093890,79.57
2024-01-07T23:22:00Z,1.093885,1.093955,1.093870,1.093955,57.12
2024-01-07T23:23:00Z,1.093940,1.093940,1.093865,1.093870,74.41
2024-01-07T23:24:00Z,1.093865,1.093870,1.093820,1.093825,65.79
2024-01-07T23:25:00Z,1.093845,1.093875,1.093835,1.093845,87.21
2024-01-07T23:26:00Z,1.093850,1.093850,1.093665,1.093665,55.09
2024-01-07T23:27:00Z,1.093660,1.093665,1.093610,1.093615,63.28
2024-01-07T23:28:00Z,1.093630,1.093675,1.093625,1.093635,144.70
2024-01-07T23:29:00Z,1.093630,1.093635,1.093560,1.093580,105.91
2024-01-07T23:30:00Z,1.093575,1.093635,1.093560,1.093610,63.66
2024-01-07T23:31:00Z,1.093615,1.093615,1.093590,1.093590,11.97
2024-01-07T23:32:00Z,1.093595,1.093620,1.093545,1.093620,88.08
2024-01-07T23:33:00Z,1.093625,1.093635,1.093620,1.093635,125.73
2024-01-07T23:34:00Z,1.093645,1.093720,1.093635,1.093670,206.14
2024-01-07T23:35:00Z,1.093665,1.093725,1.093660,1.093725,283.59
2024-01-07T23:36:00Z,1.093715,1.093720,1.093690,1.093700,52.52
2024-01-07T23:37:00Z,1.093695,1.093695,1.093600,1.093605,102.04
2024-01-07T23:38:00Z,1.093600,1.093610,1.093535,1.093570,48.25
2024-01-07T23:39:00Z,1.093565,1.093580,1.093550,1.093565,95.85
2024-01-07T23:40:00Z,1.093560,1.093565,1.093495,1.093520,147.81
2024-01-07T23:41:00Z,1.093515,1.093545,1.093515,1.093545,18.39
2024-01-07T23:42:00Z,1.093555,1.093695,1.093555,1.093690,89.01
2024-01-07T23:43:00Z,1.093685,1.093705,1.093675,1.093705,49.92
2024-01-07T23:44:00Z,1.093720,1.093760,1.093720,1.093745,26.19
2024-01-07T23:45:00Z,1.093750,1.093795,1.093750,1.093795,14.49
2024-01-07T23:46:00Z,1.093780,1.093850,1.093760,1.093850,35.49
2024-01-07T23:47:00Z,1.093865,1.093910,1.093855,1.093855,50.04
2024-01-07T23:48:00Z,1.093860,1.093860,1.093840,1.093850,40.99
2024-01-07T23:49:00Z,1.093855,1.093870,1.093850,1.093865,186.34
2024-01-07T23:50:00Z,1.093855,1.093885,1.093840,1.093885,81.72
2024-01-07T23:51:00Z,1.093880,1.093940,1.093880,1.093930,86.43
2024-01-07T23:52:00Z,1.093925,1.093945,1.093925,1.093945,23.13
2024-01-07T23:53:00Z,1.093925,1.093955,1.093925,1.093955,30.60
2024-01-07T23:54:00Z,1.093950,1.093990,1.093950,1.093990,52.38
2024-01-07T23:55:00Z,1.093995,1.094000,1.093985,1.093990,38.46
2024-01-07T23:56:00Z,1.093995,1.094060,1.093995,1.094025,245.85
2024-01-07T23:57:00Z,1.094030,1.094190,1.094030,1.094180,167.40
2024-01-07T23:58:00Z,1.094170,1.094195,1.094160,1.094195,55.44
2024-01-07T23:59:00Z,1.094205,1.094205,1.094155,1.094160,47.82
2024-01-08T00:00:00Z,1.094135,1.094165,1.094100,1.094165,79.23
2024-01-08T00:01:00Z,1.094135,1.094265,1.094135,1.094260,94.50
2024-01-08T00:02:00Z,1.094225,1.094290,1.094170,1.094280,113.20
2024-01-08T00:03:00Z,1.094255,1.094255,1.094200,1.094235,90.16
2024-01-08T00:04:00Z,1.094230,1.094315,1.094230,1.094310,198.68
2024-01-08T00:05:00Z,1.094305,1.094310,1.094270,1.094275,89.84
2024-01-08T00:06:00Z,1.094270,1.094275,1.094200,1.094205,113.96
2024-01-08T00:07:00Z,1.094210,1.094230,1.094200,1.094225,81.72
2024-01-08T00:08:00Z,1.094195,1.094220,1.094035,1.094075,224.41
2024-01-08T00:09:00Z,1.094070,1.094090,1.094055,1.094080,90.00
2024-01-08T00:10:00Z,1.094075,1.094130,1.094075,1.094130,91.80
2024-01-08T00:11:00Z,1.094135,1.094180,1.094135,1.094180,152.65
2024-01-08T00:12:00Z,1.094175,1.094275,1.094175,1.094275,104.26
2024-01-08T00:13:00Z,1.094280,1.094300,1.094265,1.094265,53.65
2024-01-08T00:14:00Z,1.094270,1.094405,1.094270,1.094405,109.65
2024-01-08T00:15:00Z,1.094400,1.094625,1.094400,1.094620,324.28
2024-01-08T00:16:00Z,1.094605,1.094610,1.094570,1.094575,89.88
2024-01-08T00:17:00Z,1.094580,1.094610,1.094570,1.094575,102.93
2024-01-08T00:18:00Z,1.094570,1.094600,1.094545,1.094555,75.61
2024-01-08T00:19:00Z,1.094545,1.094580,1.094545,1.094575,41.71
2024-01-08T00:20:00Z,1.094570,1.094660,1.094570,1.094625,99.41
2024-01-08T00:21:00Z,1.094620,1.094655,1.094570,1.094570,249.73
2024-01-08T00:22:00Z,1.094560,1.094575,1.094560,1.094565,82.08
2024-01-08T00:23:00Z,1.094570,1.094570,1.094415,1.094475,192.24
2024-01-08T00:24:00Z,1.094480,1.094485,1.094465,1.094465,47.58
2024-01-08T00:25:00Z,1.094470,1.094530,1.094470,1.094520,58.14
2024-01-08T00:26:00Z,1.094515,1.094515,1.094500,1.094505,46.17
2024-01-08T00:27:00Z,1.094510,1.094510,1.094470,1.094500,85.14
2024-01-08T00:28:00Z,1.094535,1.094610,1.094535,1.094610,36.16
2024-01-08T00:29:00Z,1.094615,1.094680,1.094615,1.094635,189.99
2024-01-08T00:30:00Z,1.094595,1.094595,1.094505,1.094530,192.15
2024-01-08T00:31:00Z,1.094535,1.094585,1.094535,1.094535,136.53
2024-01-08T00:32:00Z,1.094540,1.094610,1.094535,1.094610,110.57
2024-01-08T00:33:00Z,1.094615,1.094645,1.094615,1.094630,42.40
2024-01-08T00:34:00Z,1.094635,1.094660,1.094635,1.094660,110.17
2024-01-08T00:35:00Z,1.094650,1.094690,1.094650,1.094675,147.43
2024-01-08T00:36:00Z,1.094685,1.094710,1.094650,1.094710,136.66
2024-01-08T00:37:00Z,1.094705,1.094775,1.094685,1.094700,194.45
2024-01-08T00:38:00Z,1.094690,1.094875,1.094690,1.094725,286.87
2024-01-08T00:39:00Z,1.094720,1.094760,1.094705,1.094725,131.28
2024-01-08T00:40:00Z,1.094745,1.094765,1.094730,1.094760,73.89
2024-01-08T00:41:00Z,1.094755,1.094770,1.094755,1.094765,25.38
2024-01-08T00:42:00Z,1.094755,1.094775,1.094750,1.094775,55.89
2024-01-08T00:43:00Z,1.094785,1.094790,1.094775,1.094780,95.55
2024-01-08T00:44:00Z,1.094750,1.094770,1.094735,1.094770,81.69
2024-01-08T00:45:00Z,1.094780,1.094835,1.094775,1.094825,61.74
2024-01-08T00:46:00Z,1.094830,1.094830,1.094790,1.094820,53.43
2024-01-08T00:47:00Z,1.094815,1.094820,1.094780,1.094820,85.05
2024-01-08T00:48:00Z,1.094825,1.094850,1.094820,1.094840,57.33
2024-01-08T00:49:00Z,1.094845,1.094880,1.094830,1.094830,161.37
2024-01-08T00:50:00Z,1.094835,1.094835,1.094825,1.094830,60.21
2024-01-08T00:51:00Z,1.094825,1.094855,1.094825,1.094845,58.09
